territory,winner,players,power,day
Pittsburgh,Ohio State,64,174.0,30
Penn State,Ohio State,43,212.0,30
Buffalo,Ohio State,107,237.5,30
USC,Michigan,34,313.5,30
Mississippi State,Alabama,8,29.0,30
Washington,Ohio State,79,493.0,30
Boston College,Ohio State,159,596.0,30
Texas State,Texas A&M,76,411.0,30
Iowa State,Nebraska,29,335.0,30
Houston,Texas A&M,90,476.0,30
Indiana,Wisconsin,39,288.0,30
Texas A&M,Texas A&M,197,612.5,30
North Texas,Texas A&M,59,166.0,30
Ohio State,Chaos,35,140.5,30
Rutgers,Ohio State,43,194.0,30
NC State,Chaos,23,196.0,30
UT San Antonio,Michigan,117,557.0,30
Oregon State,Michigan,54,201.0,30
Oregon,Ohio State,56,176.0,30
Wake Forest,Georgia Tech,9,85.5,30
Charlotte,Georgia Tech,44,193.0,30
BYU,Ohio State,57,216.0,30
Middle Tennessee,Georgia Tech,80,445.0,30
Tulane,Texas,43,236.5,30
Syracuse,Michigan,62,366.5,30
Arkansas State,Chaos,12,81.0,30
Oklahoma State,Stanford,50,377.0,30
Utah,Michigan,17,151.5,30
Marshall,Ohio State,66,244.5,30
Georgia,Alabama,2,24.0,30
Georgia Tech,Georgia Tech,44,243.5,30
Akron,Ohio State,18,110.5,30
Maryland,Michigan,45,197.5,30
Fresno State,Ohio State,52,374.5,30
Memphis,Alabama,32,164.5,30
Kent State,Ohio State,30,70.0,30
Texas,Texas,125,544.5,30
New Mexico,Michigan,22,60.0,30
Virginia Tech,Georgia Tech,30,217.5,30
Stanford,Michigan,104,339.5,30
Air Force,Texas,13,96.5,30
Coastal Carolina,Clemson,38,215.0,30
Louisiana,Texas A&M,26,167.0,30
East Carolina,Chaos,32,216.0,30
Illinois,Wisconsin,65,272.0,30
Missouri,Wisconsin,55,372.0,30
TCU,Michigan,102,600.0,30
Wyoming,Nebraska,58,511.5,30
Colorado,Nebraska,1,18.0,30
Ole Miss,Alabama,11,103.5,30
Bowling Green,Ohio State,17,53.0,30
Boise State,Michigan,42,302.5,30
San José State,Michigan,37,282.0,30
Minnesota,Wisconsin,50,342.0,30
Georgia Southern,Georgia Tech,1,1.5,30
Nevada,Ohio State,51,477.5,30
Louisville,Georgia Tech,38,218.5,30
LSU,Alabama,45,341.0,30
Purdue,Wisconsin,40,339.0,30
Florida Atlantic,Georgia Tech,29,265.5,30
Northern Illinois,Wisconsin,38,276.5,30
Iowa,Wisconsin,45,358.5,30
UAB,Nebraska,12,87.0,30
Miami,Chaos,38,187.0,30
Troy,Alabama,5,41.0,30
South Alabama,Alabama,6,46.5,30
Georgia State,Georgia Tech,18,43.0,30
Hawai'i,Georgia Tech,32,165.0,30
Tennessee,Georgia Tech,32,262.5,30
Army,Michigan,128,356.0,30
Louisiana Tech,Texas,20,110.5,30
Ohio,Michigan,34,162.0,30
Kansas,Nebraska,32,254.0,30
UNLV,Michigan,75,441.5,30
Western Kentucky,Georgia Tech,30,168.5,30
SMU,Texas A&M,81,305.0,30
San Diego State,Georgia Tech,71,626.5,30
UMass,Michigan,110,234.5,30
Alabama,Alabama,22,95.0,30
Temple,Ohio State,45,258.0,30
Virginia,Ohio State,52,152.0,30
Arizona,Michigan,12,58.0,30
Miami (OH),Wisconsin,31,198.5,30
Clemson,Georgia Tech,34,219.5,30
Washington State,Nebraska,48,259.0,30
Toledo,Wisconsin,31,246.0,30
UCLA,Michigan,38,175.5,30
Oklahoma,Stanford,62,214.0,30
Louisiana Monroe,Alabama,13,68.5,30
Arizona State,Michigan,37,127.5,30
Utah State,Nebraska,63,312.0,30
Liberty,Clemson,27,202.0,30
Kansas State,Nebraska,31,207.5,30
Florida,Georgia Tech,12,75.0,30
Kentucky,Georgia Tech,48,298.5,30
Chaos,Ohio State,59,580.0,30
Arkansas,Texas A&M,27,122.0,30
Duke,Chaos,31,170.0,30
Vanderbilt,Alabama,34,273.5,30
North Carolina,Clemson,25,205.0,30
Florida State,Georgia Tech,4,24.0,30
Baylor,Texas A&M,81,414.0,30
California,Michigan,56,258.0,30
Northwestern,Wisconsin,46,348.0,30
Florida International,Georgia Tech,31,235.5,30
South Carolina,Georgia Tech,27,228.5,30
Colorado State,Nebraska,2,19.5,30
Nebraska,Nebraska,57,381.5,30
Texas Tech,Texas A&M,91,567.0,30
Rice,Texas A&M,60,294.0,30
Southern Mississippi,Alabama,69,398.0,30
Tulsa,Wisconsin,55,288.0,30
West Virginia,Ohio State,45,187.5,30
Cincinnati,Ohio State,15,123.0,30
Old Dominion,Clemson,37,113.5,30
Troy,Georgia Tech,9,67.0,31
Buffalo,Ohio State,41,178.5,31
Washington,Ohio State,66,558.5,31
Texas State,Texas A&M,83,376.0,31
Iowa State,Nebraska,31,348.0,31
Texas A&M,Texas A&M,77,317.5,31
NC State,Georgia Tech,63,341.0,31
North Texas,Texas A&M,63,221.5,31
Houston,Texas,47,317.5,31
Rutgers,Ohio State,36,193.0,31
New Mexico State,Michigan,84,458.0,31
Oregon State,Michigan,78,411.0,31
Oregon,Ohio State,33,266.0,31
Wake Forest,Georgia Tech,14,95.0,31
Charlotte,Georgia Tech,40,446.5,31
BYU,Ohio State,27,184.0,31
Middle Tennessee,Georgia Tech,19,124.5,31
Memphis,Georgia Tech,59,366.5,31
UMass,Ohio State,148,569.5,31
Oklahoma State,Stanford,41,206.0,31
Louisiana,Texas,9,45.0,31
UCLA,Ohio State,46,247.5,31
Georgia Tech,Georgia Tech,32,113.5,31
Old Dominion,Chaos,45,297.0,31
Ohio State,Ohio State,82,197.0,31
Vanderbilt,Georgia Tech,21,132.5,31
Fresno State,Ohio State,43,296.0,31
Colorado,Michigan,5,62.0,31
Texas,Texas,205,688.5,31
USC,Ohio State,49,297.5,31
New Mexico,Michigan,86,494.0,31
Tulsa,Stanford,43,229.0,31
Navy,Ohio State,38,143.0,31
Virginia Tech,Georgia Tech,10,60.5,31
Air Force,Texas,26,190.5,31
Bowling Green,Wisconsin,21,117.0,31
SMU,Wisconsin,107,452.0,31
Arkansas,Chaos,84,506.0,31
Baylor,Texas,72,367.0,31
Illinois,Wisconsin,30,208.0,31
Marshall,Michigan,39,78.0,31
Missouri,Wisconsin,68,507.5,31
Wyoming,Nebraska,54,472.0,31
Connecticut,Michigan,134,581.0,31
Ole Miss,Alabama,25,257.5,31
East Carolina,Clemson,24,216.0,31
San José State,Michigan,34,270.5,31
San Diego State,Michigan,22,98.0,31
Minnesota,Wisconsin,48,354.0,31
UT San Antonio,Texas A&M,114,500.5,31
Georgia Southern,Georgia Tech,10,73.5,31
Nevada,Ohio State,32,289.5,31
Boston College,Michigan,78,660.5,31
Louisville,Georgia Tech,7,70.5,31
LSU,Alabama,34,302.5,31
Maryland,Ohio State,82,225.5,31
Cincinnati,Georgia Tech,73,299.0,31
Florida Atlantic,Georgia Tech,36,337.5,31
Iowa,Wisconsin,55,364.0,31
Appalachian State,Georgia Tech,18,80.5,31
South Alabama,Alabama,11,59.0,31
Georgia State,Georgia Tech,12,82.5,31
Kent State,Michigan,41,198.5,31
Syracuse,Ohio State,126,544.5,31
UTEP,Texas A&M,111,569.0,31
Georgia,Georgia Tech,52,195.0,31
Tennessee,Georgia Tech,12,73.0,31
Army,Michigan,143,433.5,31
Louisiana Tech,Texas,41,257.0,31
Indiana,Georgia Tech,28,180.5,31
Kansas,Nebraska,19,225.5,31
UNLV,Michigan,59,343.0,31
Western Kentucky,Georgia Tech,9,64.5,31
Miami,Georgia Tech,45,230.0,31
North Carolina,Chaos,28,362.5,31
Florida International,Chaos,38,328.5,31
Alabama,Alabama,10,76.5,31
Temple,Ohio State,40,180.5,31
Auburn,Georgia Tech,26,176.0,31
Virginia,Ohio State,36,136.0,31
Miami (OH),Wisconsin,38,276.0,31
Clemson,Georgia Tech,24,57.5,31
Washington State,Nebraska,28,402.0,31
Toledo,Wisconsin,40,253.0,31
Oklahoma,Stanford,15,187.5,31
Louisiana Monroe,Alabama,45,329.5,31
Arizona State,Michigan,50,422.0,31
Utah State,Nebraska,45,386.5,31
Coastal Carolina,Chaos,100,807.5,31
Southern Mississippi,Texas,30,80.5,31
Kansas State,Nebraska,9,111.5,31
Kentucky,Georgia Tech,7,76.5,31
Utah,Texas,27,175.0,31
Duke,Chaos,32,226.0,31
Florida State,Georgia Tech,8,55.5,31
Akron,Chaos,15,143.0,31
Liberty,Georgia Tech,39,228.0,31
California,Michigan,38,231.0,31
Arkansas State,Wisconsin,81,437.0,31
Tulane,Texas A&M,35,234.5,31
Stanford,Ohio State,110,339.5,31
South Carolina,Georgia Tech,17,109.5,31
Colorado State,Nebraska,2,6.0,31
Nebraska,Nebraska,29,363.0,31
Penn State,Michigan,43,217.0,31
Ohio,Ohio State,79,284.0,31
Texas Tech,Texas A&M,49,320.0,31
UAB,Alabama,60,298.0,31
Hawai'i,Chaos,25,285.5,31
Rice,Texas A&M,71,300.5,31
Boise State,Nebraska,83,310.5,31
TCU,Texas A&M,88,389.5,31
West Virginia,Ohio State,35,118.0,31
Western Kentucky,Wisconsin,3,42.0,32
Penn State,Ohio State,118,389.0,32
Middle Tennessee,Alabama,6,37.5,32
San Diego State,Chaos,78,316.5,32
Ball State,Wisconsin,19,133.0,32
Buffalo,Ohio State,72,282.0,32
Mississippi State,Alabama,31,283.5,32
UNLV,Ohio State,50,295.0,32
Texas State,Texas A&M,48,269.0,32
Georgia State,Alabama,2,5.0,32
Iowa State,Nebraska,26,276.5,32
Indiana,Wisconsin,38,190.0,32
Texas A&M,Texas A&M,65,250.0,32
Pittsburgh,Michigan,58,250.0,32
Rutgers,Ohio State,64,309.0,32
New Mexico State,Michigan,152,907.0,32
NC State,Chaos,84,712.75,32
Oregon State,Michigan,77,373.5,32
Charlotte,Georgia Tech,21,192.25,32
Memphis,Georgia Tech,15,100.5,32
North Texas,Wisconsin,27,142.0,32
Louisiana Monroe,Chaos,31,276.75,32
Texas Tech,Michigan,85,588.0,32
Chaos,Michigan,84,586.5,32
Temple,Michigan,57,280.5,32
Georgia Tech,Georgia Tech,8,13.5,32
Ohio State,Ohio State,104,243.0,32
Akron,Ohio State,30,90.0,32
Rice,Texas,31,204.0,32
USC,Ohio State,39,155.0,32
Virginia,Chaos,9,93.5,32
Tulsa,Stanford,23,264.5,32
Houston,Wisconsin,77,433.0,32
Texas,Texas A&M,169,665.0,32
Navy,Ohio State,9,92.0,32
Virginia Tech,Georgia Tech,26,227.5,32
Coastal Carolina,Georgia Tech,27,147.0,32
Louisiana Tech,Wisconsin,60,416.25,32
Stanford,Michigan,29,251.0,32
Illinois,Georgia Tech,20,142.5,32
Bowling Green,Wisconsin,28,231.5,32
Arizona State,Ohio State,103,512.0,32
SMU,Wisconsin,68,511.5,32
Louisiana,Texas A&M,18,137.5,32
Clemson,Chaos,43,370.25,32
East Carolina,Chaos,47,522.75,32
Auburn,Alabama,15,77.0,32
Baylor,Texas,86,486.5,32
Oregon,Michigan,39,354.5,32
Wyoming,Nebraska,42,410.5,32
Colorado,Nebraska,18,152.5,32
Connecticut,Michigan,124,424.0,32
Ole Miss,Alabama,28,232.0,32
BYU,Nebraska,25,172.0,32
San José State,Michigan,44,220.5,32
Minnesota,Wisconsin,47,319.5,32
Arkansas State,Georgia Tech,36,196.25,32
UT San Antonio,Texas A&M,31,245.0,32
Nevada,Michigan,37,293.5,32
Boston College,Michigan,221,682.5,32
LSU,Alabama,32,315.5,32
Purdue,Wisconsin,21,147.5,32
Maryland,Ohio State,75,274.25,32
Florida Atlantic,Georgia Tech,37,224.25,32
Wake Forest,Chaos,18,129.5,32
Iowa,Wisconsin,58,408.5,32
Air Force,Nebraska,18,125.5,32
Troy,Alabama,13,73.0,32
South Alabama,Alabama,84,515.0,32
Kent State,Michigan,104,301.5,32
Syracuse,Ohio State,46,424.5,32
UTEP,Texas A&M,82,531.5,32
California,Ohio State,8,26.0,32
Hawai'i,Georgia Tech,93,438.0,32
Army,Michigan,144,458.0,32
Kansas,Nebraska,11,127.0,32
New Mexico,Texas A&M,134,904.0,32
Miami,Georgia Tech,23,226.5,32
UMass,Michigan,64,551.5,32
Alabama,Alabama,31,110.0,32
Miami (OH),Ohio State,11,65.0,32
Arizona,Michigan,10,15.0,32
Utah,Ohio State,40,353.0,32
Washington,Michigan,97,637.5,32
North Carolina,Georgia Tech,29,122.0,32
Arkansas,Stanford,39,184.0,32
Washington State,Nebraska,29,359.0,32
Oklahoma,Stanford,9,91.0,32
South Carolina,Chaos,33,269.0,32
Utah State,Nebraska,41,384.0,32
Kansas State,Nebraska,3,20.5,32
Kentucky,Georgia Tech,30,193.5,32
Duke,Chaos,70,482.0,32
Vanderbilt,Alabama,14,106.0,32
Missouri,Nebraska,62,443.25,32
Florida State,Georgia Tech,3,30.0,32
Tulane,Alabama,12,81.5,32
Liberty,Georgia Tech,18,106.75,32
Oklahoma State,Texas A&M,110,433.0,32
Florida International,Georgia Tech,36,169.0,32
Colorado State,Nebraska,4,40.5,32
Nebraska,Nebraska,27,347.0,32
Ohio,Ohio State,46,119.5,32
UAB,Alabama,15,44.0,32
Southern Mississippi,Alabama,39,200.0,32
Marshall,Georgia Tech,110,360.5,32
Fresno State,Michigan,45,186.0,32
Boise State,Nebraska,48,337.0,32
TCU,Texas A&M,44,225.0,32
West Virginia,Ohio State,44,208.5,32
Cincinnati,Ohio State,37,218.5,32
South Florida,Georgia Tech,34,307.0,32
Old Dominion,Clemson,71,493.0,32
Penn State,Ohio State,67,446.0,33
Middle Tennessee,Alabama,31,125.5,33
USC,Chaos,51,184.5,33
Ball State,Wisconsin,18,102.0,33
Buffalo,Ohio State,52,589.0,33
Mississippi State,Alabama,9,49.0,33
Navy,Clemson,36,236.0,33
Iowa State,Nebraska,15,222.0,33
Houston,Texas A&M,80,529.5,33
Oklahoma,Michigan,65,436.5,33
Rutgers,Michigan,45,475.0,33
Indiana,Wisconsin,15,95.0,33
Texas A&M,Texas A&M,62,408.0,33
NC State,Georgia Tech,24,85.0,33
Pittsburgh,Michigan,196,505.5,33
Oregon State,Michigan,23,44.0,33
Iowa,Nebraska,75,550.5,33
Wake Forest,Georgia Tech,18,102.0,33
Akron,Michigan,58,189.0,33
Tennessee,Chaos,45,454.0,33
Washington,Nebraska,45,198.5,33
Charlotte,Chaos,35,210.0,33
Nevada,Nebraska,38,409.5,33
Southern Mississippi,Chaos,48,435.25,33
North Texas,Wisconsin,81,493.5,33
Texas Tech,Michigan,145,698.0,33
Marshall,Ohio State,12,59.0,33
UCLA,Ohio State,52,229.0,33
Old Dominion,Chaos,58,513.5,33
Ohio State,Ohio State,128,265.5,33
Rice,Texas,127,705.5,33
Memphis,Alabama,19,111.0,33
Arizona,Texas A&M,74,237.5,33
Utah,Nebraska,43,110.0,33
Kent State,Ohio State,140,463.0,33
Virginia,Chaos,43,340.0,33
Tulsa,Stanford,14,145.5,33
Oklahoma State,Nebraska,29,154.0,33
New Mexico State,Texas A&M,121,572.0,33
Texas,Texas A&M,134,795.5,33
Coastal Carolina,Georgia Tech,17,144.5,33
Stanford,Michigan,99,491.5,33
East Carolina,Chaos,35,218.0,33
Arkansas,Chaos,30,197.25,33
Illinois,Wisconsin,70,314.5,33
Oregon,Michigan,63,502.5,33
Wyoming,Nebraska,41,387.0,33
Colorado,Nebraska,11,132.5,33
Ole Miss,Alabama,40,366.0,33
BYU,Nebraska,6,68.0,33
Bowling Green,Ohio State,7,13.0,33
San José State,Michigan,84,400.0,33
Minnesota,Wisconsin,50,320.5,33
Arkansas State,Georgia Tech,21,162.5,33
UT San Antonio,Texas A&M,126,732.5,33
Georgia Southern,Georgia Tech,50,418.0,33
SMU,Texas,80,615.0,33
Boston College,Michigan,101,738.0,33
Louisville,Georgia Tech,2,20.0,33
LSU,Alabama,51,519.75,33
Virginia Tech,Chaos,19,134.75,33
Purdue,Wisconsin,15,100.5,33
Maryland,Ohio State,38,432.5,33
Northern Illinois,Wisconsin,14,101.5,33
Appalachian State,Georgia Tech,33,293.0,33
Air Force,Nebraska,14,95.5,33
Troy,Alabama,7,32.5,33
South Alabama,Alabama,6,37.0,33
Georgia State,Georgia Tech,31,152.0,33
Syracuse,Ohio State,82,784.0,33
UTEP,Texas A&M,109,674.0,33
Georgia,Georgia Tech,42,369.5,33
Hawai'i,Georgia Tech,30,261.5,33
Army,Michigan,216,674.5,33
Ohio,Michigan,66,208.5,33
Kansas,Nebraska,7,78.0,33
Missouri,Stanford,20,149.5,33
New Mexico,Texas A&M,83,536.0,33
Liberty,Chaos,57,428.25,33
UNLV,Michigan,43,298.5,33
Western Kentucky,Georgia Tech,39,177.5,33
San Diego State,Georgia Tech,45,188.0,33
UMass,Michigan,46,432.0,33
Alabama,Alabama,23,91.0,33
Temple,Ohio State,188,595.0,33
Miami (OH),Ohio State,4,57.0,33
Georgia Tech,Alabama,18,39.0,33
North Carolina,Georgia Tech,30,206.0,33
Clemson,Georgia Tech,33,160.0,33
Washington State,Nebraska,17,253.5,33
Toledo,Wisconsin,30,180.5,33
Louisiana Monroe,Alabama,32,191.0,33
Arizona State,Michigan,42,214.0,33
Utah State,Nebraska,36,307.5,33
Kansas State,Nebraska,1,18.0,33
Florida,Georgia Tech,11,93.5,33
Kentucky,Georgia Tech,9,64.0,33
